2026-08-02 09:48:42 startup archives unpack
2026-08-02 09:48:42 upgrade libtalloc2:amd64 2:2.4.3+samba4.23.6+dfsg-1ubuntu2.1 2:2.4.3+samba4.23.6+dfsg-1ubuntu2.2
2026-08-02 09:48:42 status triggers-pending libc-bin:amd64 2.43-2ubuntu2
2026-08-02 09:48:42 status half-configured libtalloc2:amd64 2:2.4.3+samba4.23.6+dfsg-1ubuntu2.1
2026-08-02 09:48:42 status unpacked libtalloc2:amd64 2:2.4.3+samba4.23.6+dfsg-1ubuntu2.1
2026-08-02 09:48:42 status half-installed libtalloc2:amd64 2:2.4.3+samba4.23.6+dfsg-1ubuntu2.1
2026-08-02 09:48:42 status unpacked libtalloc2:amd64 2:2.4.3+samba4.23.6+dfsg-1ubuntu2.2
2026-08-02 09:48:42 upgrade libtevent0t64:amd64 2:0.17.1+samba4.23.6+dfsg-1ubuntu2.1 2:0.17.1+samba4.23.6+dfsg-1ubuntu2.2
2026-08-02 09:48:42 status half-configured libtevent0t64:amd64 2:0.17.1+samba4.23.6+dfsg-1ubuntu2.1
2026-08-02 09:48:42 status unpacked libtevent0t64:amd64 2:0.17.1+samba4.23.6+dfsg-1ubuntu2.1
2026-08-02 09:48:42 status half-installed libtevent0t64:amd64 2:0.17.1+samba4.23.6+dfsg-1ubuntu2.1
2026-08-02 09:48:42 status unpacked libtevent0t64:amd64 2:0.17.1+samba4.23.6+dfsg-1ubuntu2.2
2026-08-02 09:48:42 upgrade libsmbclient0:amd64 2:4.23.6+dfsg-1ubuntu2.1 2:4.23.6+dfsg-1ubuntu2.2
2026-08-02 09:48:42 status half-configured libsmbclient0:amd64 2:4.23.6+dfsg-1ubuntu2.1
2026-08-02 09:48:42 status unpacked libsmbclient0:amd64 2:4.23.6+dfsg-1ubuntu2.1
2026-08-02 09:48:42 status half-installed libsmbclient0:amd64 2:4.23.6+dfsg-1ubuntu2.1
2026-08-02 09:48:42 status triggers-pending man-db:amd64 2.13.1-1build1
2026-08-02 09:48:42 status unpacked libsmbclient0:amd64 2:4.23.6+dfsg-1ubuntu2.2
2026-08-02 09:48:42 upgrade samba-common:all 2:4.23.6+dfsg-1ubuntu2.1 2:4.23.6+dfsg-1ubuntu2.2
2026-08-02 09:48:42 status half-configured samba-common:all 2:4.23.6+dfsg-1ubuntu2.1
2026-08-02 09:48:42 status unpacked samba-common:all 2:4.23.6+dfsg-1ubuntu2.1
2026-08-02 09:48:42 status half-installed samba-common:all 2:4.23.6+dfsg-1ubuntu2.1
2026-08-02 09:48:42 status unpacked samba-common:all 2:4.23.6+dfsg-1ubuntu2.2
2026-08-02 09:48:42 upgrade libtdb1:amd64 2:1.4.14+samba4.23.6+dfsg-1ubuntu2.1 2:1.4.14+samba4.23.6+dfsg-1ubuntu2.2
2026-08-02 09:48:42 status half-configured libtdb1:amd64 2:1.4.14+samba4.23.6+dfsg-1ubuntu2.1
2026-08-02 09:48:42 status unpacked libtdb1:amd64 2:1.4.14+samba4.23.6+dfsg-1ubuntu2.1
2026-08-02 09:48:42 status half-installed libtdb1:amd64 2:1.4.14+samba4.23.6+dfsg-1ubuntu2.1
2026-08-02 09:48:42 status unpacked libtdb1:amd64 2:1.4.14+samba4.23.6+dfsg-1ubuntu2.2
2026-08-02 09:48:42 upgrade libwbclient0:amd64 2:4.23.6+dfsg-1ubuntu2.1 2:4.23.6+dfsg-1ubuntu2.2
2026-08-02 09:48:42 status half-configured libwbclient0:amd64 2:4.23.6+dfsg-1ubuntu2.1
2026-08-02 09:48:42 status unpacked libwbclient0:amd64 2:4.23.6+dfsg-1ubuntu2.1
2026-08-02 09:48:42 status half-installed libwbclient0:amd64 2:4.23.6+dfsg-1ubuntu2.1
2026-08-02 09:48:42 status unpacked libwbclient0:amd64 2:4.23.6+dfsg-1ubuntu2.2
2026-08-02 09:48:43 upgrade python3-samba:amd64 2:4.23.6+dfsg-1ubuntu2.1 2:4.23.6+dfsg-1ubuntu2.2
2026-08-02 09:48:43 status half-configured python3-samba:amd64 2:4.23.6+dfsg-1ubuntu2.1
2026-08-02 09:48:43 status unpacked python3-samba:amd64 2:4.23.6+dfsg-1ubuntu2.1
2026-08-02 09:48:43 status half-installed python3-samba:amd64 2:4.23.6+dfsg-1ubuntu2.1
2026-08-02 09:48:43 status unpacked python3-samba:amd64 2:4.23.6+dfsg-1ubuntu2.2
